secteur;site;tstamp;trafic_mbps;;;
T70721A;T70721;lundi 18 juin 2018;0;;;
T70721B;T70721;lundi 18 juin 2018;1.788239175;;;
T70721C;T70721;lundi 18 juin 2018;0;;;
T70722A;T70722;lundi 18 juin 2018;4.437942091;;;
T70722B;T70722;lundi 18 juin 2018;10.88575182;;;
T70722C;T70722;lundi 18 juin 2018;9.281002153;;;
T70724A;T70724;lundi 18 juin 2018;10.03486148;;;
T70724B;T70724;lundi 18 juin 2018;5.461289318;;;
T70724C;T70724;lundi 18 juin 2018;7.793847796;;;
T70725A;T70725;lundi 18 juin 2018;8.759070612;;;
T70725B;T70725;lundi 18 juin 2018;11.87636959;;;
T70725C;T70725;lundi 18 juin 2018;7.672495766;;;
T70730A;T70730;lundi 18 juin 2018;22.13328196;;;
T70730B;T70730;lundi 18 juin 2018;9.802096004;;;
T70730C;T70730;lundi 18 juin 2018;9.699681491;;;
T70735A;T70735;lundi 18 juin 2018;8.83525177;;;
T70735B;T70735;lundi 18 juin 2018;6.046903468;;;
T70735C;T70735;lundi 18 juin 2018;5.804729714;;;
T70737A;T70737;lundi 18 juin 2018;6.612222405;;;
T70737B;T70737;lundi 18 juin 2018;7.812802837;;;
T70737C;T70737;lundi 18 juin 2018;10.30270133;;;
T70738A;T70738;lundi 18 juin 2018;15.20943498;;;
T70738B;T70738;lundi 18 juin 2018;4.350700299;;;
T70738C;T70738;lundi 18 juin 2018;9.00769979;;;
T70743A;T70743;lundi 18 juin 2018;0.295335199;;;
T70743B;T70743;lundi 18 juin 2018;8.537566013;;;
T70743C;T70743;lundi 18 juin 2018;2.425284027;;;
T70744A;T70744;lundi 18 juin 2018;12.00176252;;;
T70744B;T70744;lundi 18 juin 2018;18.6154856;;;
T70744C;T70744;lundi 18 juin 2018;3.823895265;;;
T70745A;T70745;lundi 18 juin 2018;7.155199814;;;
T70745B;T70745;lundi 18 juin 2018;7.013028881;;;
T70745C;T70745;lundi 18 juin 2018;5.622777879;;;
T70747A;T70747;lundi 18 juin 2018;1.17516034;;;
T70747B;T70747;lundi 18 juin 2018;0.944849771;;;
T70747C;T70747;lundi 18 juin 2018;17.2165501;;;
T76995A;T76995;lundi 18 juin 2018;6.027216223;;;
T76995B;T76995;lundi 18 juin 2018;1.449225048;;;
T76995C;T76995;lundi 18 juin 2018;8.466260568;;;
T77125A;T77125;lundi 18 juin 2018;3.190361265;;;
T77125B;T77125;lundi 18 juin 2018;2.358951285;;;
T77125C;T77125;lundi 18 juin 2018;20.63551879;;;
T78256A;T78256;lundi 18 juin 2018;15.25194949;;;
T78256B;T78256;lundi 18 juin 2018;14.57527441;;;
T78256C;T78256;lundi 18 juin 2018;15.85652611;;;
T78258A;T78258;lundi 18 juin 2018;9.602803189;;;
T78258B;T78258;lundi 18 juin 2018;11.6185005;;;
T78258C;T78258;lundi 18 juin 2018;19.92124609;;;
T78259A;T78259;lundi 18 juin 2018;6.185166761;;;
T78259B;T78259;lundi 18 juin 2018;7.637484045;;;
T78259C;T78259;lundi 18 juin 2018;5.751813496;;;
T78262A;T78262;lundi 18 juin 2018;9.239082571;;;
T78262B;T78262;lundi 18 juin 2018;7.608174953;;;
T78262C;T78262;lundi 18 juin 2018;10.92978753;;;
T78264A;T78264;lundi 18 juin 2018;0.683475699;;;
T78264B;T78264;lundi 18 juin 2018;0.734619623;;;
T78264C;T78264;lundi 18 juin 2018;2.783759022;;;
T78269A;T78269;lundi 18 juin 2018;10.30966916;;;
T78269B;T78269;lundi 18 juin 2018;17.81415214;;;
T78269C;T78269;lundi 18 juin 2018;4.012278055;;;
T78270A;T78270;lundi 18 juin 2018;7.509121287;;;
T78270B;T78270;lundi 18 juin 2018;1.463685414;;;
T78270C;T78270;lundi 18 juin 2018;3.012648065;;;
T78271A;T78271;lundi 18 juin 2018;15.66389617;;;
T78271B;T78271;lundi 18 juin 2018;12.42690934;;;
T78271C;T78271;lundi 18 juin 2018;26.88845074;;;
T78273A;T78273;lundi 18 juin 2018;2.823237764;;;
T78273B;T78273;lundi 18 juin 2018;9.4993476;;;
T78273C;T78273;lundi 18 juin 2018;22.86261157;;;
T78274A;T78274;lundi 18 juin 2018;16.32143926;;;
T78274B;T78274;lundi 18 juin 2018;2.642857082;;;
T78274C;T78274;lundi 18 juin 2018;7.915262947;;;
T78279A;T78279;lundi 18 juin 2018;1.649628127;;;
T78279B;T78279;lundi 18 juin 2018;0.470290288;;;
T78279C;T78279;lundi 18 juin 2018;2.500077583;;;
T78280A;T78280;lundi 18 juin 2018;0.937310026;;;
T78280B;T78280;lundi 18 juin 2018;9.322309731;;;
T78280C;T78280;lundi 18 juin 2018;4.546617435;;;
T70721A;T70721;lundi 25 juin 2018;0;;;
T70721B;T70721;lundi 25 juin 2018;1.978748013;;;
T70721C;T70721;lundi 25 juin 2018;0;;;
T70722A;T70722;lundi 25 juin 2018;4.031521147;;;
T70722B;T70722;lundi 25 juin 2018;11.29706832;;;
T70722C;T70722;lundi 25 juin 2018;12.56577631;;;
T70724A;T70724;lundi 25 juin 2018;10.30970287;;;
T70724B;T70724;lundi 25 juin 2018;4.302103458;;;
T70724C;T70724;lundi 25 juin 2018;5.835779443;;;
T70725A;T70725;lundi 25 juin 2018;7.025654114;;;
T70725B;T70725;lundi 25 juin 2018;12.48662469;;;
T70725C;T70725;lundi 25 juin 2018;6.794972725;;;
T70730A;T70730;lundi 25 juin 2018;22.72969314;;;
T70730B;T70730;lundi 25 juin 2018;9.916601055;;;
T70730C;T70730;lundi 25 juin 2018;8.664117274;;;
T70735A;T70735;lundi 25 juin 2018;8.158290563;;;
T70735B;T70735;lundi 25 juin 2018;5.702145946;;;
T70735C;T70735;lundi 25 juin 2018;5.778497709;;;
T70737A;T70737;lundi 25 juin 2018;6.902409033;;;
T70737B;T70737;lundi 25 juin 2018;8.098418736;;;
T70737C;T70737;lundi 25 juin 2018;8.049362169;;;
T70738A;T70738;lundi 25 juin 2018;14.73118621;;;
T70738B;T70738;lundi 25 juin 2018;4.084734772;;;
T70738C;T70738;lundi 25 juin 2018;7.111752493;;;
T70743A;T70743;lundi 25 juin 2018;0.240343824;;;
T70743B;T70743;lundi 25 juin 2018;6.041503003;;;
T70743C;T70743;lundi 25 juin 2018;2.262270707;;;
T70744A;T70744;lundi 25 juin 2018;13.39206733;;;
T70744B;T70744;lundi 25 juin 2018;16.27297634;;;
T70744C;T70744;lundi 25 juin 2018;2.558767016;;;
T70745A;T70745;lundi 25 juin 2018;7.474139123;;;
T70745B;T70745;lundi 25 juin 2018;6.261245427;;;
T70745C;T70745;lundi 25 juin 2018;6.467224506;;;
T70747A;T70747;lundi 25 juin 2018;1.177133894;;;
T70747B;T70747;lundi 25 juin 2018;1.158610314;;;
T70747C;T70747;lundi 25 juin 2018;15.99767743;;;
T76995A;T76995;lundi 25 juin 2018;8.358976188;;;
T76995B;T76995;lundi 25 juin 2018;2.194159073;;;
T76995C;T76995;lundi 25 juin 2018;6.437766483;;;
T77125A;T77125;lundi 25 juin 2018;3.224277745;;;
T77125B;T77125;lundi 25 juin 2018;1.343933857;;;
T77125C;T77125;lundi 25 juin 2018;15.7221015;;;
T78256A;T78256;lundi 25 juin 2018;15.25584859;;;
T78256B;T78256;lundi 25 juin 2018;14.41480739;;;
T78256C;T78256;lundi 25 juin 2018;14.41253751;;;
T78258A;T78258;lundi 25 juin 2018;8.549345606;;;
T78258B;T78258;lundi 25 juin 2018;11.60123639;;;
T78258C;T78258;lundi 25 juin 2018;21.97391959;;;
T78259A;T78259;lundi 25 juin 2018;7.541466101;;;
T78259B;T78259;lundi 25 juin 2018;6.381820778;;;
T78259C;T78259;lundi 25 juin 2018;4.710632958;;;
T78262A;T78262;lundi 25 juin 2018;9.93805609;;;
T78262B;T78262;lundi 25 juin 2018;7.240216368;;;
T78262C;T78262;lundi 25 juin 2018;9.255709401;;;
T78264A;T78264;lundi 25 juin 2018;0.657950433;;;
T78264B;T78264;lundi 25 juin 2018;0.690440192;;;
T78264C;T78264;lundi 25 juin 2018;2.687710844;;;
T78269A;T78269;lundi 25 juin 2018;10.04690546;;;
T78269B;T78269;lundi 25 juin 2018;16.23240719;;;
T78269C;T78269;lundi 25 juin 2018;3.677311567;;;
T78270A;T78270;lundi 25 juin 2018;6.739540622;;;
T78270B;T78270;lundi 25 juin 2018;1.603685364;;;
T78270C;T78270;lundi 25 juin 2018;2.940694105;;;
T78271A;T78271;lundi 25 juin 2018;15.21484085;;;
T78271B;T78271;lundi 25 juin 2018;12.24715906;;;
T78271C;T78271;lundi 25 juin 2018;29.14460424;;;
T78273A;T78273;lundi 25 juin 2018;2.278951179;;;
T78273B;T78273;lundi 25 juin 2018;11.04082002;;;
T78273C;T78273;lundi 25 juin 2018;18.90995883;;;
T78274A;T78274;lundi 25 juin 2018;12.11864618;;;
T78274B;T78274;lundi 25 juin 2018;2.594730864;;;
T78274C;T78274;lundi 25 juin 2018;5.703991885;;;
