model,L,hidden,layers,epochs,batch,lr,n_sectors,n_train_windows,rmse_q50,pinball_q90,run_time
LSTM-quantile,64,32,1,3,256,0.001,86,167786,113.33264923095703,36.84832763671875,2026-02-08T19:57:37
LSTM-quantile,64,32,1,5,256,0.001,86,167786,113.33296203613281,33.24125289916992,2026-02-08T19:58:52
LSTM-quantile,64,32,1,10,256,0.001,86,167786,113.33135223388672,23.83426856994629,2026-02-08T20:01:31
LSTM-quantile,64,32,2,3,256,0.001,86,167786,113.32664489746094,36.8416633605957,2026-02-08T20:03:12
LSTM-quantile,64,32,2,5,256,0.001,86,167786,113.3326187133789,33.33741760253906,2026-02-08T20:06:05
LSTM-quantile,64,32,2,10,256,0.001,86,167786,113.3324203491211,28.487462997436523,2026-02-08T20:12:09
LSTM-quantile,64,64,1,3,256,0.001,86,167786,113.32974243164062,31.95804214477539,2026-02-08T20:14:16
LSTM-quantile,64,64,1,5,256,0.001,86,167786,113.32656860351562,27.497249603271484,2026-02-08T20:17:49
LSTM-quantile,64,64,1,10,256,0.001,86,167786,113.33207702636719,21.57830047607422,2026-02-08T20:25:04
LSTM-quantile,64,64,2,3,256,0.001,86,167786,113.33275604248047,32.02390670776367,2026-02-08T20:29:22
LSTM-quantile,64,64,2,5,256,0.001,86,167786,113.33464050292969,28.882081985473633,2026-02-08T20:36:35
LSTM-quantile,64,64,2,10,256,0.001,86,167786,113.33122253417969,22.79503631591797,2026-02-08T20:50:59
LSTM-quantile,64,128,1,3,256,0.001,86,167786,113.27638244628906,27.11754035949707,2026-02-08T20:55:24
LSTM-quantile,64,128,1,5,256,0.001,86,167786,113.33165740966797,22.4025821685791,2026-02-08T21:02:39
LSTM-quantile,64,128,1,10,256,0.001,86,167786,113.32884979248047,20.960729598999023,2026-02-08T21:17:35
LSTM-quantile,64,128,2,3,256,0.001,86,167786,113.3265609741211,28.543485641479492,2026-02-08T21:28:05
LSTM-quantile,64,128,2,5,256,0.001,86,167786,113.31430053710938,27.922990798950195,2026-02-08T21:47:44
LSTM-quantile,64,128,2,10,256,0.001,86,167786,113.3293228149414,21.9112606048584,2026-02-08T22:37:59
LSTM-quantile,128,32,1,3,256,0.001,86,162282,113.32814025878906,36.94148635864258,2026-02-08T22:40:03
LSTM-quantile,128,32,1,5,256,0.001,86,162282,113.332275390625,32.075687408447266,2026-02-08T22:42:56
LSTM-quantile,128,32,1,10,256,0.001,86,162282,113.32466125488281,24.181421279907227,2026-02-08T22:50:03
LSTM-quantile,128,32,2,3,256,0.001,86,162282,113.32671356201172,37.081932067871094,2026-02-08T22:55:18
LSTM-quantile,128,32,2,5,256,0.001,86,162282,113.32880401611328,33.40500259399414,2026-02-08T23:03:15
LSTM-quantile,128,32,2,10,256,0.001,86,162282,113.33460235595703,28.608762741088867,2026-02-08T23:13:44
LSTM-quantile,128,64,1,3,256,0.001,86,162282,113.32797241210938,32.165443420410156,2026-02-08T23:17:36
LSTM-quantile,128,64,1,5,256,0.001,86,162282,113.32987976074219,24.907007217407227,2026-02-08T23:23:54
LSTM-quantile,128,64,1,10,256,0.001,86,162282,113.33014678955078,22.558551788330078,2026-02-08T23:36:27
LSTM-quantile,128,64,2,3,256,0.001,86,162282,113.32971954345703,32.26767349243164,2026-02-08T23:42:47
LSTM-quantile,128,64,2,5,256,0.001,86,162282,113.327880859375,29.038114547729492,2026-02-08T23:54:03
LSTM-quantile,128,64,2,10,256,0.001,86,162282,113.33100128173828,27.8389949798584,2026-02-09T00:17:20
LSTM-quantile,128,128,1,3,256,0.001,86,162282,113.33566284179688,25.092214584350586,2026-02-09T00:24:49
LSTM-quantile,128,128,1,5,256,0.001,86,162282,113.32846069335938,21.296178817749023,2026-02-09T00:36:55
LSTM-quantile,128,128,1,10,256,0.001,86,162282,113.33187866210938,19.4920711517334,2026-02-09T01:03:09
LSTM-quantile,128,128,2,3,256,0.001,86,162282,113.32714080810547,27.98172378540039,2026-02-09T01:20:56
LSTM-quantile,128,128,2,5,256,0.001,86,162282,113.32342529296875,27.89744758605957,2026-02-09T01:50:53
LSTM-quantile,128,128,2,10,256,0.001,86,162282,113.33323669433594,20.755035400390625,2026-02-09T02:51:46
LSTM-quantile,256,32,1,3,256,0.001,86,151274,113.32941436767578,37.48084259033203,2026-02-09T02:54:51
LSTM-quantile,256,32,1,5,256,0.001,86,151274,113.33142852783203,33.944183349609375,2026-02-09T02:59:54
LSTM-quantile,256,32,1,10,256,0.001,86,151274,113.33248901367188,37.32127380371094,2026-02-09T03:10:04
LSTM-quantile,256,32,2,3,256,0.001,86,151274,113.33026885986328,37.531490325927734,2026-02-09T03:16:49
LSTM-quantile,256,32,2,5,256,0.001,86,151274,113.33158874511719,34.007503509521484,2026-02-09T03:27:21
LSTM-quantile,256,32,2,10,256,0.001,86,151274,113.32357025146484,28.925979614257812,2026-02-09T03:49:04
LSTM-quantile,256,64,1,3,256,0.001,86,151274,113.3217544555664,32.65422439575195,2026-02-09T03:55:04
LSTM-quantile,256,64,1,5,256,0.001,86,151274,113.33440399169922,27.173513412475586,2026-02-09T04:04:57
LSTM-quantile,256,64,1,10,256,0.001,86,151274,113.33238220214844,22.275775909423828,2026-02-09T04:24:49
LSTM-quantile,256,64,2,3,256,0.001,86,151274,113.3343505859375,32.80048370361328,2026-02-09T04:38:32
LSTM-quantile,256,64,2,5,256,0.001,86,151274,113.33047485351562,29.421445846557617,2026-02-09T05:01:53
LSTM-quantile,256,64,2,10,256,0.001,86,151274,113.33847045898438,27.800735473632812,2026-02-09T05:44:29
LSTM-quantile,256,128,1,3,256,0.001,86,151274,113.32992553710938,24.309011459350586,2026-02-09T05:59:13
LSTM-quantile,256,128,1,5,256,0.001,86,151274,113.33192443847656,22.921770095825195,2026-02-09T06:23:27
LSTM-quantile,256,128,1,10,256,0.001,86,151274,113.32630157470703,19.90101432800293,2026-02-09T07:13:33
LSTM-quantile,256,128,2,3,256,0.001,86,151274,113.33026885986328,28.909948348999023,2026-02-09T07:49:23
LSTM-quantile,256,128,2,5,256,0.001,86,151274,113.32897186279297,26.452733993530273,2026-02-09T08:46:19
LSTM-quantile,256,128,2,10,256,0.001,86,151274,113.33372497558594,20.695363998413086,2026-02-09T10:37:08
